2020-08-09 01:01:46.194069,spam,Test server epic,test,epic guy#0715
2020-08-09 01:02:22.918170,OwO,Test server epic,test,epic guy#0715
2020-08-09 01:04:47.258425,quote,The Emerald Guild,general,Witherblaze79#5460
2020-08-09 01:16:36.419987,ping,The Emerald Guild,lol,Witherblaze79#5460
2020-08-09 01:17:05.000622,ping,A random server,bots,epic guy#0715
2020-08-09 01:23:39.577190,joke,Test server epic,test,epic guy#0715
2020-08-09 11:32:04.777039,OwO,Green Land,general-with-capital-g,epic guy#0715
2020-08-09 11:32:19.781897,quote,Green Land,general-with-capital-g,epic guy#0715
2020-08-09 14:34:03.680743,help,Test server epic,test,epic guy#0715
2020-08-09 17:25:11.900052,ping,Music Life,chat,epic guy#0715
2020-08-09 17:28:33.108560,quote,Music Life,chat,epic guy#0715
2020-08-09 17:29:40.631423,joke,Music Life,chat,Al Kuffar 666#7557
2020-08-09 17:32:55.161549,OwO,A random server,general,epic guy#0715
2020-08-09 17:45:54.996153,OwO,Test server epic,test,epic guy#0715
2020-08-09 18:07:04.077740,quote,A random server,general,Juchetas#3421
2020-08-09 18:07:17.915532,quote,A random server,general,Juchetas#3421
2020-08-09 18:07:52.098487,OwO,A random server,general,epic guy#0715
2020-08-09 18:08:51.905908,joke,A random server,general,Juchetas#3421
2020-08-09 18:09:00.441396,joke,A random server,general,Juchetas#3421
2020-08-09 18:09:09.857935,joke,A random server,general,Juchetas#3421
2020-08-09 18:09:27.520945,joke,A random server,general,Juchetas#3421
2020-08-09 18:10:28.052407,joke,A random server,general,Juchetas#3421
2020-08-09 18:10:32.017634,joke,A random server,general,epic guy#0715
2020-08-09 18:10:32.019634,joke,A random server,general,Juchetas#3421
2020-08-09 18:10:34.985804,help,A random server,general,epic guy#0715
2020-08-09 18:11:32.997122,spam,A random server,general,Juchetas#3421
2020-08-09 18:11:45.585842,help,A random server,general,epic guy#0715
2020-08-09 18:11:57.752538,spam,A random server,general,epic guy#0715
2020-08-09 18:13:21.450325,spam,A random server,general,epic guy#0715
2020-08-09 18:13:21.452325,spam,A random server,general,Juchetas#3421
2020-08-09 18:13:21.507328,spam,A random server,general,epic guy#0715
